
Остатки и доступность товаров

Параметры:	Показать обособленные товары: Нет
Отбор:	Склад В группе из списка "СОХ Санкт-Петербург СТС"

Склад			Сейчас			Ожидается				02.04.2026	Итого
Артикул	Номенклатура, Характеристика	Ед. изм.	В наличии	В резерве	Доступно	Поступит	В резерве	Доступно	Поступит	Поступит	Поступит
СОХ Санкт-Петербург СТС											
04910	Клапан запорный 1/2" (вентиль) 15Б1п, AQUALINK 128/16	шт	813,000	258,000	555,000						
04910-DIY	Клапан запорный 1/2" (вентиль) 15Б1п DIY, Бирка 128/16	шт									
04900	Клапан запорный 1/2" (вентиль) 15Б3р, AQUALINK 128/16	шт	1 355,000	386,000	969,000						
04915	Клапан запорный 2" (вентиль) 15Б1п, AQUALINK 16/2	шт	59,000	38,000	21,000						
04905	Клапан запорный 2" (вентиль) 15Б3р, AQUALINK 16/2	шт	53,000	46,000	7,000						
04911	Клапан запорный 3/4" (вентиль) 15Б1п, AQUALINK 80/10	шт	655,000	200,000	455,000						
04901	Клапан запорный 3/4" (вентиль) 15Б3р, AQUALINK 80/10	шт	930,000	162,000	768,000						
03968	Клапан запорный трехпроходной 1/2x3/4х1/2 вн-нар-нар, AQUALINK 100/10	шт	1 241,000		1 241,000						
02677	Клапан настроечный для радиатора с уплотнением прямой вн-нар 1/2", AQUALINK 100/10	шт	1 776,000	666,000	1 110,000						
02678	Клапан настроечный для радиатора с уплотнением прямой вн-нар 3/4", AQUALINK 80/10	шт	592,000	40,000	552,000						
02679	Клапан настроечный для радиатора с уплотнением угловой вн-нар 1/2", AQUALINK 100/10	шт	4 465,000	860,000	3 605,000						
02680	Клапан настроечный для радиатора с уплотнением угловой вн-нар 3/4", AQUALINK 80/10	шт	299,000		299,000						
03958	Клапан обратный с латунным золотником 1 1/2 вн-вн, AQUALINK 36/6	шт	250,000	50,000	200,000						
03957	Клапан обратный с латунным золотником 1 1/4 вн-вн,	шт									
03957	Клапан обратный с латунным золотником 1 1/4 вн-вн, AQUALINK 60/5	шт	689,000	12,000	677,000						
02341	Клапан обратный с латунным золотником 1 вн-вн, AQUALINK 100/10	шт	1 603,000	174,000	1 429,000						
02339	Клапан обратный с латунным золотником 1/2 вн-вн,	шт									
02339	Клапан обратный с латунным золотником 1/2 вн-вн, AQUALINK 200/20	шт	2 147,000	1 223,000	924,000						
03959	Клапан обратный с латунным золотником 2 вн-вн,	шт									
03959	Клапан обратный с латунным золотником 2 вн-вн, AQUALINK  24/4	шт	145,000	26,000	119,000						
02340	Клапан обратный с латунным золотником 3/4 вн-вн,	шт									
02340	Клапан обратный с латунным золотником 3/4 вн-вн, AQUALINK 150/15	шт	1 996,000	150,000	1 846,000						
03960	Клапан обратный с пластиковым золотником 1 1/4 вн-вн, AQUALINK 60/5	шт	108,000	43,000	65,000						
01166	Клапан обратный с пластиковым золотником 1 вн-вн, AQUALINK  100/10	шт	1 082,000	200,000	882,000						
02342	Клапан обратный с пластиковым золотником 1/2 вн-вн, AQUALINK 200/20	шт	1 359,000	125,000	1 234,000						
02343	Клапан обратный с пластиковым золотником 3/4 вн-вн, AQUALINK 150/15	шт	575,000	63,000	512,000						
03963	Клапан обратный с фильтром терминальный 1 1/4 вн-вн, AQUALINK  30/3	шт	74,000		74,000						
02060	Клапан обратный с фильтром терминальный 1 вн-вн, AQUALINK 80/10	шт	682,000		682,000						
02058	Клапан обратный с фильтром терминальный 1/2 вн-вн, AQUALINK  120/20	шт	389,000		389,000						
02059	Клапан обратный с фильтром терминальный 3/4 вн-вн, AQUALINK 80/10	шт	513,000	4,000	509,000						
02059-DIY	Клапан обратный с фильтром терминальный 3/4 вн-вн (DIY), Подложка 80х60 80/10	шт	8,000		8,000						
02750	Клапан предохранительный (нерегулируемый) 1,5 Bar, AQUALINK 100/1	шт	252,000	100,000	152,000						
02751	Клапан предохранительный (нерегулируемый) 3 Bar, AQUALINK 100/1	шт	595,000	100,000	495,000						
02752	Клапан предохранительный (нерегулируемый) 6 Bar, AQUALINK 100/1	шт	367,000	101,000	266,000						
02760	Клапан предохранительный для бойлера 1/2", AQUALINK 150/10	шт	2 830,000	330,000	2 500,000						
02673	Клапан регулирующий для радиатора с уплотнением прямой вн-нар 1/2", AQUALINK 100/10	шт	824,000	240,000	584,000						
02674	Клапан регулирующий для радиатора с уплотнением прямой вн-нар 3/4", AQUALINK 80/10	шт	455,000	10,000	445,000						
02675	Клапан регулирующий для радиатора с уплотнением угловой вн-нар 1/2", AQUALINK 100/10	шт	787,000	770,000	17,000						
02676	Клапан регулирующий для радиатора с уплотнением угловой вн-нар 3/4", AQUALINK 80/10	шт	629,000	80,000	549,000						
02630	Клапан термостатический (RTL), AQUALINK 30/1	шт	381,000	170,000	211,000						
02631	Клапан термостатический (RTL) угловой, AQUALINK 30/1	шт	63,000		63,000						
02621	Клапан термостатический для радиатора с уплотнением прямой вн-нар 1/2", AQUALINK 80/10	шт	1 468,000	287,000	1 181,000						
02622	Клапан термостатический для радиатора с уплотнением прямой вн-нар 3/4", AQUALINK 64/8	шт	292,000		292,000						
02623	Клапан термостатический для радиатора с уплотнением угловой вн-нар 1/2", AQUALINK 80/10	шт	1 761,000	10,000	1 751,000						
02624	Клапан термостатический для радиатора с уплотнением угловой вн-нар 3/4", AQUALINK 64/8	шт	290,000		290,000						
02421	Коллектор (наружная резьба) 3/4x1/2  2 выхода, AQUALINK  60/2	шт	82,000		82,000						
02422	Коллектор (наружная резьба) 3/4x1/2  3 выхода, AQUALINK  50/2	шт	445,000		445,000						
02423	Коллектор (наружная резьба) 3/4x1/2  4 выхода, AQUALINK 40/2	шт	198,000		198,000						
04476	Коллектор c регулирующими клапанами 3/4x1/2  2 выхода, AQUALINK  30/2	шт	203,000	4,000	199,000						
04477	Коллектор c регулирующими клапанами 3/4x1/2  3 выхода, AQUALINK   20/2	шт	425,000	5,000	420,000						
04478	Коллектор c регулирующими клапанами 3/4x1/2  4 выхода, AQUALINK   15/1	шт	105,000	4,000	101,000						
02424	Коллектор c шаровыми кранами 3/4x1/2  2 выхода, AQUALINK 30/2	шт	306,000		306,000						
02425	Коллектор c шаровыми кранами 3/4x1/2  3 выхода, AQUALINK 20/2	шт	253,000		253,000						
02426	Коллектор c шаровыми кранами 3/4x1/2  4 выхода, AQUALINK 15/1	шт	181,000	2,000	179,000						
03782	Коллектор PP-R с шаровыми кранами 32х20 2 выхода, AQUALINK 26/1	шт	60,000	30,000	30,000						
03782	Коллектор PP-R с шаровыми кранами 32х20 2 выхода, AQUALINK 30/1	шт	14,000		14,000						
03783	Коллектор PP-R с шаровыми кранами 32х20 3 выхода, AQUALINK 22/1	шт	65,000	5,000	60,000						
03783	Коллектор PP-R с шаровыми кранами 32х20 3 выхода, AQUALINK 25/1	шт	4,000		4,000						
03784	Коллектор PP-R с шаровыми кранами 32х20 4 выхода, AQUALINK 22/1	шт	79,000	44,000	35,000						
03785	Коллектор PP-R с шаровыми кранами 32х20 5 выходов, AQUALINK 18/1	шт	90,000	55,000	35,000						
02870	Коллектор распределительный стальной 3 контура отопления, AQUALINK 1/1	шт	7,000	1,000	6,000						
